2022.10.27 11:57:28 INFO  Shut down connection with build server.
2022.10.27 11:57:28 INFO  Attempting to connect to the build server...
2022.10.27 11:57:28 INFO  Bloop uses /Users/tomas.merendon/Library/Java/JavaVirtualMachines/azul-13.0.12/Contents/Home defined at /Users/tomas.merendon/.bloop/bloop.json
2022.10.27 11:57:28 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /Users/tomas.merendon/Code/TomyProjects/programingInScalaBook/.metals/bsp.trace.json or /Users/tomas.merendon/Library/Caches/org.scalameta.metals/bsp.trace.json
2022.10.27 11:57:28 INFO  Attempting to connect to the build server...
2022.10.27 11:57:28 INFO  Bloop uses /Users/tomas.merendon/Library/Java/JavaVirtualMachines/azul-13.0.12/Contents/Home defined at /Users/tomas.merendon/.bloop/bloop.json
2022.10.27 11:57:28 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /Users/tomas.merendon/Code/TomyProjects/programingInScalaBook/project/.metals/bsp.trace.json or /Users/tomas.merendon/Library/Caches/org.scalameta.metals/bsp.trace.json
2022.10.27 11:57:28 INFO  time: Connected to build server in 0.19s
2022.10.27 11:57:28 INFO  Connected to Build server: Bloop v1.5.4
2022.10.27 11:57:28 INFO  time: Imported build in 0.15s
2022.10.27 11:57:35 INFO  time: indexed workspace in 7.36s
2022.10.27 11:57:47 INFO  time: code lens generation in 11s
2022.10.27 12:02:10 INFO  running '/Users/tomas.merendon/Library/Java/JavaVirtualMachines/azul-13.0.12/Contents/Home/bin/java -Djline.terminal=jline.UnsupportedTerminal -Dsbt.log.noformat=true -Dfile.encoding=UTF-8 -jar /var/folders/yn/_258hmp54m55rsz5jqn5zbtw0000gn/T/metals8505490049719957514/sbt-launch.jar -Dbloop.export-jar-classifiers=sources bloopInstall'
2022.10.27 12:02:17 INFO  [info] Loading global plugins from /Users/tomas.merendon/.sbt/1.0/plugins
2022.10.27 12:02:20 INFO  [info] Loading settings for project programinginscalabook-build-build from metals.sbt ...
2022.10.27 12:02:20 INFO  [info] Loading project definition from /Users/tomas.merendon/Code/TomyProjects/programingInScalaBook/project/project
2022.10.27 12:02:20 INFO  [info] Loading settings for project programinginscalabook-build from metals.sbt ...
2022.10.27 12:02:20 INFO  [info] Loading project definition from /Users/tomas.merendon/Code/TomyProjects/programingInScalaBook/project
2022.10.27 12:02:24 INFO  [success] Generated .bloop/programinginscalabook-build.json
2022.10.27 12:02:24 INFO  [success] Total time: 4 s, completed Oct 27, 2022, 12:02:25 PM
2022.10.27 12:02:24 INFO  [info] Loading settings for project programinginscalabook from build.sbt ...
2022.10.27 12:02:24 INFO  [info] Set current project to ProgramingInScala (in build file:/Users/tomas.merendon/Code/TomyProjects/programingInScalaBook/)
2022.10.27 12:02:26 INFO  [success] Generated .bloop/programinginscalabook-test.json
